nohup: ignoring input
============================================================
AGIFORMER PHASE 8: Scaling & Emergence (100M)
============================================================

🚀 Initializing Scaled Model...
   Architecture: 12 layers × 768 dim
   Parameters: 129.3M
   Device: cuda

📚 Loading Turkish Wikipedia Data...

⚙️  Training Configuration:
   Batch Size: 2 (effective: 8)
   Max Steps: 50,000
   Target Duration: ~5-7 days on T4

▶️  Starting Training...

Step   620/50000: Loss=2.1905 | BPC=3.1602 | LR=2.00e-04 | ETA=11.3h
Step   630/50000: Loss=2.1993 | BPC=3.1730 | LR=2.00e-04 | ETA=11.3h
Step   640/50000: Loss=2.2269 | BPC=3.2127 | LR=2.00e-04 | ETA=11.3h
Step   650/50000: Loss=2.0901 | BPC=3.0154 | LR=2.00e-04 | ETA=11.3h
Step   660/50000: Loss=3.1331 | BPC=4.5201 | LR=2.00e-04 | ETA=11.3h
Step   670/50000: Loss=2.3206 | BPC=3.3479 | LR=2.00e-04 | ETA=11.3h
Step   680/50000: Loss=2.1399 | BPC=3.0872 | LR=2.00e-04 | ETA=11.3h
Step   690/50000: Loss=1.9244 | BPC=2.7763 | LR=2.00e-04 | ETA=11.2h
Step   700/50000: Loss=2.0028 | BPC=2.8894 | LR=2.00e-04 | ETA=11.2h
Step   710/50000: Loss=1.9956 | BPC=2.8790 | LR=2.00e-04 | ETA=11.2h
Step   720/50000: Loss=2.2929 | BPC=3.3079 | LR=2.00e-04 | ETA=11.2h
Step   730/50000: Loss=1.9856 | BPC=2.8646 | LR=2.00e-04 | ETA=11.2h
Step   740/50000: Loss=1.8835 | BPC=2.7173 | LR=2.00e-04 | ETA=11.2h
Step   750/50000: Loss=2.0563 | BPC=2.9667 | LR=2.00e-04 | ETA=11.2h
Step   760/50000: Loss=1.8440 | BPC=2.6603 | LR=2.00e-04 | ETA=11.2h
Step   770/50000: Loss=2.3026 | BPC=3.3219 | LR=2.00e-04 | ETA=11.2h
Step   780/50000: Loss=2.1859 | BPC=3.1536 | LR=2.00e-04 | ETA=11.2h
Step   790/50000: Loss=2.3672 | BPC=3.4151 | LR=2.00e-04 | ETA=11.2h
Step   800/50000: Loss=2.0519 | BPC=2.9602 | LR=2.00e-04 | ETA=11.2h
Step   810/50000: Loss=2.1393 | BPC=3.0863 | LR=2.00e-04 | ETA=11.2h
